,ga:landingPagePath,ga:date,ga:source,ga:country,ga:deviceCategory,ga:users,ga:newUsers,ga:sessions,ga:bounceRate,ga:pageviewsPerSession,ga:avgSessionDuration,ga:totalEvents
241,/discos-smart-bogo-cart-upsell?surface_detail=BOGO+buy+x+get+y&surface_inter_position=1&surface_intra_position=8&surface_type=search,20220602,google,United States,desktop,1.0,0.0,1.0,0.0,2.0,126.0,1.0
242,/discos-smart-bogo-cart-upsell?surface_detail=bogo+offer&surface_inter_position=1&surface_intra_position=26&surface_type=search,20220514,facebook.com,United States,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
243,/discos-smart-bogo-cart-upsell?surface_detail=bogo+sales&surface_inter_position=4&surface_intra_position=23&surface_type=search,20220506,(direct),United States,desktop,1.0,0.0,1.0,100.0,1.0,0.0,0.0
244,/discos-smart-bogo-cart-upsell?surface_detail=bogof&surface_inter_position=1&surface_intra_position=12&surface_type=search,20220509,google,United Kingdom,desktop,1.0,0.0,1.0,0.0,1.0,194.0,1.0
245,/discos-smart-bogo-cart-upsell?surface_detail=bogof&surface_inter_position=1&surface_intra_position=9&surface_type=search,20220517,(direct),United Kingdom,desktop,1.0,1.0,1.0,0.0,2.0,117.0,0.0
246,/discos-smart-bogo-cart-upsell?surface_detail=boyo&surface_inter_position=1&surface_intra_position=5&surface_type=search,20220511,admin,New Zealand,desktop,1.0,0.0,1.0,0.0,1.0,23.0,1.0
247,/discos-smart-bogo-cart-upsell?surface_detail=buy+one+get+one&surface_inter_position=1&surface_intra_position=27&surface_type=search,20220602,(direct),Philippines,desktop,1.0,1.0,1.0,0.0,2.0,537.0,0.0
248,/discos-smart-bogo-cart-upsell?surface_detail=buy+one+get+one&surface_inter_position=2&surface_intra_position=9&surface_type=search,20220530,(direct),India,desktop,1.0,1.0,1.0,0.0,1.0,53.0,1.0
249,/discos-smart-bogo-cart-upsell?surface_detail=buy+one+get+one+$&surface_inter_position=2&surface_intra_position=26&surface_type=search,20220508,(direct),United States,desktop,1.0,1.0,1.0,0.0,1.0,12.0,1.0
250,/discos-smart-bogo-cart-upsell?surface_detail=buy+x&surface_inter_position=1&surface_intra_position=10&surface_type=search,20220518,(direct),Faroe Islands,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
251,/discos-smart-bogo-cart-upsell?surface_detail=buy+x+get+y&surface_inter_position=1&surface_intra_position=10&surface_type=search,20220514,(direct),Turkey,desktop,1.0,1.0,1.0,100.0,1.0,0.0,0.0
