,Landing Page,Date,Source,Country,Device,Users,New Users,Sessions,Bounce Rate,Pages/Session,Avg. Session Duration,Total Events,type,keyword
62,/discos-smart-bogo-cart-upsell,2022-05-26,website,South Africa,desktop,1,1,3,100.0,1.0,0.0,0,Others,Others
63,/discos-smart-bogo-cart-upsell,2022-05-27,google,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
64,/discos-smart-bogo-cart-upsell,2022-05-30,(direct),India,desktop,1,1,1,0.0,2.0,3.0000000000000004e-09,0,Others,Others
65,/discos-smart-bogo-cart-upsell,2022-05-30,landing page,India,desktop,1,1,1,100.0,1.0,0.0,0,Others,Others
66,/discos-smart-bogo-cart-upsell,2022-05-30,website,India,desktop,1,1,1,0.0,1.0,5.1e-08,1,Others,Others
67,/discos-smart-bogo-cart-upsell,2022-05-31,google,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
68,/discos-smart-bogo-cart-upsell,2022-05-31,landing page,United States,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
69,/discos-smart-bogo-cart-upsell,2022-05-31,landing page,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
70,/discos-smart-bogo-cart-upsell,2022-05-31,slack_partner_leauge,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
71,/discos-smart-bogo-cart-upsell,2022-06-01,l.facebook.com,Vietnam,desktop,1,0,1,100.0,1.0,0.0,0,Others,Others
72,/discos-smart-bogo-cart-upsell?fbclid=IwAR09RZwhKjodFRCbGwvMoKl5uKV-rx2irpUGkFQ17FxfwVag_qs8Y2YHkZA,2022-05-07,m.facebook.com,Sweden,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
73,/discos-smart-bogo-cart-upsell?fbclid=IwAR1egpE-NQXItINsjcqRluJLKhVhAcDWVahgujAjbwAx4oiOiQNF7pjXLOQ,2022-06-01,m.facebook.com,United States,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
74,/discos-smart-bogo-cart-upsell?fbclid=IwAR2uV_t8grermYZOyUsGmBlk_AY7kpuc5mqGuhhCUG8eQdkLRRQ3ml2FG4k,2022-05-07,m.facebook.com,United States,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
75,/discos-smart-bogo-cart-upsell?fbclid=IwAR3kSOGBNuL2koAN2OK_KoWpG6XugUdSGyt_Po8cWZks_2Nqmbh9vVPdGLw,2022-06-01,m.facebook.com,United States,mobile,1,1,1,100.0,1.0,0.0,0,Others,Others
